Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Flagged),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time spent),Custom field (Time to first response),Custom field (Time to resolution),Custom field ([CHART] Date of First Response),Parent,Parent summary,Status Category
Create test execution for Admin>Catalog>product,RET-143,10149,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,07/Sep/21 5:34 PM,07/Sep/21 9:34 PM,08/Sep/21 4:46 PM,,,0,"Test execution performed for Admin>Catalog>Product.

[~accountid:612f0c178bb88c006f3f0437] ",,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,07/Sep/21 9:34 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;STR_Retail_Admin_CatalogProduct_C1_Run1.xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10099/STR_Retail_Admin_CatalogProduct_C1_Run1.xlsx,,,,,,,,{},,,,,,,,0|i000x3:,,,,,,RET Sprint 1,,,,,,,,,,10034,Create test  cases for Admin>Catalog>Products,To Do
Create test execution for Admin>Catalog>Categories,RET-136,10142,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,07/Sep/21 5:27 PM,07/Sep/21 9:33 PM,08/Sep/21 4:44 PM,,,0,"Test execution performed for Admin>Catalog>Categories.

[~accountid:612f0c178bb88c006f3f0437] ",,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,07/Sep/21 9:32 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;STR_Retail_Admin_CatalogCategory_C1_Run1.xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10098/STR_Retail_Admin_CatalogCategory_C1_Run1.xlsx,,,,,,,,{},,,,,,,,0|i000vj:,,,,,,RET Sprint 1,,,,,,,,,,10071,Create test cases for Admin>Catalog>Categories,To Do
Please check test cases for Admin_Catalog_Manufacturers,RET-127,10133,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,07/Sep/21 9:58 AM,07/Sep/21 8:17 PM,08/Sep/21 4:44 PM,,,0,"Reviewed test cases for Admin>Catalog>Manufactures.

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 8:17 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Manufactures.doc;https://mahfooza-project.atlassian.net/secure/attachment/10097/Checklist_RetailShoppingProject_Admin_Catalog_Manufactures.doc,,,,,,,,{},,,,,,,,0|i000tj:,,,,,,RET Sprint 1,,,,,,,,,,10106,Create test  cases for Admin>Catalog>manufacturers,To Do
Please check test cases for Admin_Catalog_Reviews,RET-126,10132,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,07/Sep/21 9:56 AM,07/Sep/21 8:17 PM,08/Sep/21 4:44 PM,,,0,"Reviewed test cases for Admin>Catalog>Reviews.

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 8:16 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Reviews.doc;https://mahfooza-project.atlassian.net/secure/attachment/10096/Checklist_RetailShoppingProject_Admin_Catalog_Reviews.doc,,,,,,,,{},,,,,,,,0|i000tb:,,,,,,RET Sprint 1,,,,,,,,,,10070,Create test  cases for Admin>Catalog>Riviews ,To Do
Please check test cases for Admin_Catalog_Options,RET-125,10131,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,07/Sep/21 9:53 AM,07/Sep/21 8:16 PM,08/Sep/21 4:44 PM,,,0,"Reviewed test cases for Admin>Catalog>Options.

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 8:16 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Options.doc;https://mahfooza-project.atlassian.net/secure/attachment/10095/Checklist_RetailShoppingProject_Admin_Catalog_Options.doc,,,,,,,,{},,,,,,,,0|i000t3:,,,,,,RET Sprint 1,,,,,,,,,,10037,Create test  cases for Catalog>Options,To Do
Please Check the test cases for Admin_Catalog_Downloads,RET-124,10130,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,07/Sep/21 9:51 AM,07/Sep/21 9:58 AM,08/Sep/21 4:44 PM,,,0,"Reviewed Admin>Catalog-Download.

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 9:58 AM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Downloads.doc;https://mahfooza-project.atlassian.net/secure/attachment/10060/Checklist_RetailShoppingProject_Admin_Catalog_Downloads.doc,,,,,,,,{},,,,,,,,0|i000sv:,,,,,,RET Sprint 1,,,,,,,,,,10068,Create test cases for Admin>Catalog>Downloads,To Do
Please review test cases for Admin_Catalog_Reviews,RET-119,10125,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,06/Sep/21 9:28 PM,07/Sep/21 9:12 AM,08/Sep/21 4:10 PM,,,0,Reviewed Admin>Catalog>Reviews.,,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 9:11 AM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Reviews.doc;https://mahfooza-project.atlassian.net/secure/attachment/10049/Checklist_RetailShoppingProject_Admin_Catalog_Reviews.doc,,,,,,,,{},,,,,,,,0|i000rr:,,,,,,,,,,,,,,,,10029,Retail_Admin_CatalogReviews,To Do
Please review test cases for Admin_Catalog_Manufacturers,RET-118,10124,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,06/Sep/21 9:26 PM,07/Sep/21 9:20 AM,08/Sep/21 4:10 PM,,,0,"Reviewed Admin>Catalog-Manufactures.

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 9:20 AM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Manufactures.doc;https://mahfooza-project.atlassian.net/secure/attachment/10057/Checklist_RetailShoppingProject_Admin_Catalog_Manufactures.doc,,,,,,,,{},,,,,,,,0|i000rj:,,,,,,RET Sprint 1,,,,,,,,,,10027, Retail_Admin_CatalogManufactures,To Do
Execute test cases of User>ShoppingCart,RET-109,10115,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,06/Sep/21 8:28 PM,06/Sep/21 10:41 PM,08/Sep/21 4:46 PM,,,0,Performed execution of test cases on Retail>User>ShoppingCart.,,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,06/Sep/21 10:40 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;STR_Reatil_User_ShoppingCart_C1_Run1.xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10035/STR_Reatil_User_ShoppingCart_C1_Run1.xlsx,,,,,,,,{},,,,,,,,0|i000pj:,,,,,,RET Sprint 1,,,,,,,,,,10048,Create test  cases for User>ShoppingCart ,To Do
Execute test cases of User>WishList,RET-105,10111,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,06/Sep/21 8:23 PM,06/Sep/21 10:42 PM,08/Sep/21 4:10 PM,,,0,Performed execution of test cases on Retail>User>Wishlist.,,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,06/Sep/21 10:42 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;STR_Retail_User_WishList_C1_Run1.xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10036/STR_Retail_User_WishList_C1_Run1.xlsx,,,,,,,,{},,,,,,,,0|i000on:,,,,,,RET Sprint 1,,,,,,,,,,10074, create test cases for User>Wishlist,To Do
Please review the test cases for Admin-Catalog-Downloads,RET-99,10105,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,06/Sep/21 6:24 PM,07/Sep/21 9:18 AM,08/Sep/21 4:46 PM,,,0,"Reviewed Admin>Catalog>Downloads

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 9:10 AM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Downloads.doc;https://mahfooza-project.atlassian.net/secure/attachment/10046/Checklist_RetailShoppingProject_Admin_Catalog_Downloads.doc,,,,,,,,{},,,,,,,,0|i000nb:,,,,,,,,,,,,,,,,10028,Retail_Admin_CatalogDownloads,To Do
Please review test cases for Admin- Catalog-options,RET-98,10104,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,06/Sep/21 6:23 PM,07/Sep/21 9:19 AM,08/Sep/21 4:47 PM,,,0,"Reviewed Admin>Catalog-options.

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 9:15 AM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Options.doc;https://mahfooza-project.atlassian.net/secure/attachment/10055/Checklist_RetailShoppingProject_Admin_Catalog_Options.doc,,,,,,,,{},,,,,,,,0|i000n3:,,,,,,,,,,,,,,,,10026,Retail_Admin_CatlogOptions,To Do
Please review test cases for User_Review,RET-97,10103,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,06/Sep/21 6:21 PM,07/Sep/21 8:15 PM,08/Sep/21 4:47 PM,,,0,"Reviewed test cases for User>Review.

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 8:14 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_User_Review.doc;https://mahfooza-project.atlassian.net/secure/attachment/10094/Checklist_RetailShoppingProject_User_Review.doc,,,,,,,,{},,,,,,,,0|i000mv:,,,,,,RET Sprint 1,,,,,,,,,,10058,Create test  cases for User>Riview Section ,To Do
Please Review the test cases for User_Pincode,RET-96,10102,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,06/Sep/21 6:19 PM,07/Sep/21 8:14 PM,08/Sep/21 4:47 PM,,,0,"Reviewed test cases for User>Pincode.

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 8:14 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Pincode.doc;https://mahfooza-project.atlassian.net/secure/attachment/10093/Checklist_RetailShoppingProject_Admin_Catalog_Pincode.doc,,,,,,,,{},,,,,,,,0|i000mn:,,,,,,RET Sprint 1,,,,,,,,,,10077,Create test  cases for User>Check delivery,To Do
 create test cases for admin>Dashboard> stores,RET-67,10073,Task,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,06/Sep/21 10:31 AM,07/Sep/21 8:09 PM,08/Sep/21 4:47 PM,,,0,"Test cases created for Admin>Dashboard>Stores.

[~accountid:612f0c178bb88c006f3f0437] ",,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,07/Sep/21 8:09 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;STC_Retail_Admin_Store.xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10089/STC_Retail_Admin_Store.xlsx,,,,,,,,{},,,,,,,,0|i000fr:,,,,,,RET Sprint 1,,,,,,06/Sep/21 12:00 AM,,,,,,To Do
Create test  cases for User>Registration,RET-61,10067,Task,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,06/Sep/21 10:15 AM,07/Sep/21 8:10 PM,08/Sep/21 4:47 PM,,,0,"Created test cases for User>Registration.

[~accountid:612f0c178bb88c006f3f0437] ",,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,07/Sep/21 8:10 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;STC_Retail_User_Registration.xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10090/STC_Retail_User_Registration.xlsx,,,,,,,,{},,,,,,,,0|i000ef:,,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Please Check test cases for Retail_User_Pincode,RET-59,10065,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,03/Sep/21 4:15 PM,07/Sep/21 9:13 AM,08/Sep/21 4:48 PM,,,0,Reviewed Admin>Catalog>Check delivery at your pincode.,,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 9:13 AM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_Admin_Catalog_Pincode.doc;https://mahfooza-project.atlassian.net/secure/attachment/10052/Checklist_RetailShoppingProject_Admin_Catalog_Pincode.doc,,,,,,,,{},,,,,,,,0|i000dz:,,,,,,,,,,,,,,,,10057,Reatail_user_Check delivery at your pincode,To Do
Please review the testcases for Retail_User_Review,RET-54,10060,Subtask,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Prerana M V,612f0bd9dae0a200718b802f,Prerana M V,612f0bd9dae0a200718b802f,03/Sep/21 2:32 PM,07/Sep/21 9:18 AM,08/Sep/21 4:11 PM,,,0,"Reviewed User>Review.

[~accountid:612f0bd9dae0a200718b802f] ",,Prerana M V,612f0bd9dae0a200718b802f,,,,,,,,,,07/Sep/21 9:17 AM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Checklist_RetailShoppingProject_User_Review.doc;https://mahfooza-project.atlassian.net/secure/attachment/10056/Checklist_RetailShoppingProject_User_Review.doc,,,,,,,,{},,,,,,,,0|i000d3:,,,,,,,,,,,,,,,,10056,Retail_user_Riview,To Do
 create test cases for admin>dashboard>notification,RET-39,10045,Task,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,02/Sep/21 3:39 PM,07/Sep/21 8:11 PM,08/Sep/21 4:48 PM,,,0,"Created test cases for Admin>Dashboard>Notification.

[~accountid:612f0c178bb88c006f3f0437] ",,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,,03/Sep/21 2:33 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;Retail Shopping project testCase 3 (Admin_notificationStores).xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10003/Retail+Shopping+project+testCase+3+%28Admin_notificationStores%29.xlsx,07/Sep/21 8:11 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;STC_Retail_Admin_Notification.xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10091/STC_Retail_Admin_Notification.xlsx,,,,,,,{},,,,,,,,0|i0009r:,,,,,,RET Sprint 1,,,,,,,,,,,,To Do
Create test  cases for user>login ,RET-29,10035,Task,To Do,RET,retail,software,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,Medium,,Nandita Kumari,612f1c46448a6b00690e4da0,Mahfooza Ahmed,612f0c178bb88c006f3f0437,Mahfooza Ahmed,612f0c178bb88c006f3f0437,02/Sep/21 2:07 PM,07/Sep/21 8:12 PM,08/Sep/21 4:11 PM,,,0,"Created test cases for User>Login.

[~accountid:612f0c178bb88c006f3f0437] ",,Mahfooza Ahmed,612f0c178bb88c006f3f0437,,,,,,,,,RET-11,07/Sep/21 8:11 PM;ug:01b7ac40-1d8f-476c-a327-e9c41dbb6c1f;STC_Retail_User_Login.xlsx;https://mahfooza-project.atlassian.net/secure/attachment/10092/STC_Retail_User_Login.xlsx,,,,,,,,{},,,,,Impediment,,,0|i0007r:,,,,,,RET Sprint 1,,,,,,,,,,,,To Do
